Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,Any,"[3,4)","[1,2)","[0.1,0.5)",Iris-setosa
2,Any,Any,Any,Any,Iris-setosa
3,Any,Any,Any,Any,Iris-setosa
4,Any,Any,Any,Any,Iris-setosa
5,Any,"[3,4)",Any,Any,Iris-setosa
6,Any,"[3,4)","[1,2)","[0.1,0.5)",Iris-setosa
7,Any,Any,Any,Any,Iris-setosa
8,Any,Any,Any,Any,Iris-setosa
9,Any,Any,Any,Any,Iris-setosa
10,Any,Any,Any,Any,Iris-setosa
11,Any,"[3,4)",Any,Any,Iris-setosa
12,Any,"[3,4)",Any,Any,Iris-setosa
13,Any,Any,Any,Any,Iris-setosa
14,Any,Any,Any,Any,Iris-setosa
15,Any,Any,Any,Any,Iris-setosa
16,Any,"[3,4.4]",Any,Any,Iris-setosa
17,Any,Any,Any,Any,Iris-setosa
18,Any,"[3,4)","[1,2)","[0.1,0.5)",Iris-setosa
19,Any,Any,Any,Any,Iris-setosa
20,Any,Any,Any,Any,Iris-setosa
21,Any,"[3,4.4]",Any,Any,Iris-setosa
22,Any,Any,Any,Any,Iris-setosa
23,Any,Any,Any,Any,Iris-setosa
24,Any,Any,Any,Any,Iris-setosa
25,Any,Any,Any,Any,Iris-setosa
26,Any,Any,Any,Any,Iris-setosa
27,Any,Any,Any,Any,Iris-setosa
28,Any,"[3,4)",Any,Any,Iris-setosa
29,Any,"[3,4)","[1,2)","[0.1,0.5)",Iris-setosa
30,Any,Any,Any,Any,Iris-setosa
31,Any,Any,Any,Any,Iris-setosa
32,Any,Any,Any,Any,Iris-setosa
33,Any,"[3,4.4]",Any,Any,Iris-setosa
34,Any,Any,Any,Any,Iris-setosa
35,Any,"[3,4)","[1,2)","[0.1,0.5)",Iris-setosa
36,Any,Any,Any,Any,Iris-setosa
37,Any,Any,Any,Any,Iris-setosa
38,Any,Any,Any,Any,Iris-setosa
39,Any,"[3,4)","[1,2)","[0.1,0.5)",Iris-setosa
40,Any,Any,Any,Any,Iris-setosa
41,Any,Any,Any,Any,Iris-setosa
42,Any,Any,Any,Any,Iris-setosa
43,Any,"[3,4)",Any,Any,Iris-setosa
44,Any,"[3,4)",Any,Any,Iris-setosa
45,Any,Any,Any,Any,Iris-setosa
46,Any,Any,Any,Any,Iris-setosa
47,Any,"[3,4)",Any,Any,Iris-setosa
48,Any,Any,Any,Any,Iris-setosa
49,Any,"[3,4)",Any,Any,Iris-setosa
50,Any,Any,Any,Any,Iris-setosa
51,Any,Any,"[3,6.9)","[1,2.5]",Iris-versicolor
52,"[6,6.5)",Any,"[3,6.9)","[1,2.5]",Iris-versicolor
53,Any,"[3,4.4]",Any,Any,Iris-versicolor
54,Any,Any,"[3,6.9)","[1,2.5]",Iris-versicolor
55,"[6,7]","[2.4,3)","[4.5,5)","[1,2.5]",Iris-versicolor
56,Any,Any,Any,Any,Iris-versicolor
57,Any,Any,"[3,6.9)","[1,2.5]",Iris-versicolor
58,Any,Any,"[3,6.9)","[1,2.5]",Iris-versicolor
59,Any,Any,Any,Any,Iris-versicolor
60,Any,Any,"[3,6.9)","[1,2.5]",Iris-versicolor
61,Any,Any,"[3,6.9)","[1,2.5]",Iris-versicolor
