Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,Any,"[3.5,4)",Any,"[0.1,0.5)",Iris-setosa
2,"[4.3,5)","[3,3.5)","[1,2)","[0.1,0.5)",Iris-setosa
3,"[4.3,5)","[3,3.5)",Any,Any,Iris-setosa
4,"[4.3,5)","[3,3.5)","[1,2)","[0.1,0.5)",Iris-setosa
5,Any,"[3.5,4)",Any,"[0.1,0.5)",Iris-setosa
6,Any,"[3.5,4)",Any,"[0.1,0.5)",Iris-setosa
7,"[4.3,5)","[3,3.5)",Any,"[0.1,0.5)",Iris-setosa
8,"[5,5.5)",3.4,Any,"[0.1,0.5)",Iris-setosa
9,"[4.3,5)",Any,"[1,2)","[0.1,0.5)",Iris-setosa
10,"[4.3,5)","[3,3.5)",Any,Any,Iris-setosa
11,Any,"[3,4)","[1,3)","[0.1,0.5)",Iris-setosa
12,"[4.3,5)","[3,3.5)",Any,"[0.1,0.5)",Iris-setosa
13,"[4.3,5)","[3,3.5)","[1,2)","[0.1,0.5)",Iris-setosa
14,Any,"[3,4)",Any,"[0.1,0.5)",Iris-setosa
15,"[5,6]",Any,Any,"[0.1,0.5)",Iris-setosa
16,"[5,6]",Any,Any,"[0.1,0.5)",Iris-setosa
17,Any,"[3,4)","[1,3)","[0.1,0.5)",Iris-setosa
18,Any,"[3.5,4)",Any,"[0.1,0.5)",Iris-setosa
19,Any,"[3,4)","[1,3)","[0.1,0.5)",Iris-setosa
20,Any,"[3,4)","[1,3)","[0.1,0.5)",Iris-setosa
21,"[5,5.5)",3.4,Any,"[0.1,0.5)",Iris-setosa
22,"[5,6]",Any,Any,"[0.1,0.5)",Iris-setosa
23,"[4.3,5)",Any,"[1,2)","[0.1,0.5)",Iris-setosa
24,"[5,5.5)",Any,Any,"[0.1,1)",Iris-setosa
25,"[4.3,5)",Any,"[1,2)","[0.1,0.5)",Iris-setosa
26,Any,"[3,4)",Any,"[0.1,0.5)",Iris-setosa
27,"[5,5.5)",3.4,Any,"[0.1,0.5)",Iris-setosa
28,"[5,6]","[3.5,4)",Any,"[0.1,0.5)",Iris-setosa
29,Any,"[3,4)",Any,"[0.1,0.5)",Iris-setosa
30,"[4.3,5)","[3,3.5)",Any,Any,Iris-setosa
31,Any,"[3,4)",Any,"[0.1,0.5)",Iris-setosa
32,"[5,5.5)",Any,Any,"[0.1,1)",Iris-setosa
33,"[5,5.5)",Any,Any,Any,Iris-setosa
