Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,Any,"[3.5,4)",Any,"[0.1,0.5)",Iris-setosa
2,"[4.3,5)",Any,"[1,2)","[0.1,0.5)",Iris-setosa
3,"[4.3,5)","[3,3.5)",Any,Any,Iris-setosa
4,"[4.3,5)",Any,"[1,2)","[0.1,0.5)",Iris-setosa
5,Any,"[3.5,4)",Any,"[0.1,0.5)",Iris-setosa
6,Any,"[3.5,4)",Any,"[0.1,0.5)",Iris-setosa
7,"[4.3,5)","[3,3.5)",Any,Any,Iris-setosa
8,Any,Any,Any,"[0.1,0.5)",Iris-setosa
9,"[4.3,5)",Any,"[1,2)","[0.1,0.5)",Iris-setosa
10,"[4.3,5)","[3,3.5)",Any,Any,Iris-setosa
11,Any,Any,Any,"[0.1,0.5)",Iris-setosa
12,"[4.3,5)","[3,3.5)",Any,Any,Iris-setosa
13,"[4.3,5)",Any,"[1,2)","[0.1,0.5)",Iris-setosa
14,Any,"[3,4)",Any,"[0.1,0.5)",Iris-setosa
15,"[5,6]",Any,Any,"[0.1,0.5)",Iris-setosa
16,"[5,6]",Any,Any,"[0.1,0.5)",Iris-setosa
17,Any,"[3,4)",Any,"[0.1,0.5)",Iris-setosa
18,Any,"[3.5,4)",Any,"[0.1,0.5)",Iris-setosa
19,Any,"[3,4)",Any,"[0.1,0.5)",Iris-setosa
20,Any,"[3,4)",Any,"[0.1,0.5)",Iris-setosa
21,Any,Any,Any,"[0.1,0.5)",Iris-setosa
22,"[5,6]",Any,Any,"[0.1,0.5)",Iris-setosa
23,"[4.3,5)",Any,Any,"[0.1,0.5)",Iris-setosa
24,"[5,5.5)",Any,Any,Any,Iris-setosa
25,"[4.3,5)",Any,Any,"[0.1,0.5)",Iris-setosa
26,Any,"[3,4)",Any,"[0.1,0.5)",Iris-setosa
27,Any,Any,Any,"[0.1,0.5)",Iris-setosa
28,Any,"[3.5,4)",Any,"[0.1,0.5)",Iris-setosa
29,Any,"[3,4.4]",Any,Any,Iris-setosa
30,"[4.3,5)","[3,3.5)",Any,Any,Iris-setosa
31,Any,"[3,4.4]",Any,Any,Iris-setosa
32,"[5,5.5)",Any,Any,Any,Iris-setosa
33,"[5,5.5)",Any,Any,Any,Iris-setosa
34,"[5,6]",Any,Any,"[0.1,0.5)",Iris-setosa
35,Any,"[3,4.4]",Any,Any,Iris-setosa
36,Any,Any,Any,Any,Iris-setosa
37,"[5,6]",Any,Any,"[0.1,0.5)",Iris-setosa
38,Any,Any,Any,Any,Iris-setosa
39,"[4.3,5)",Any,"[1,2)","[0.1,0.5)",Iris-setosa
40,Any,Any,Any,"[0.1,0.5)",Iris-setosa
41,Any,"[3,4.4]",Any,Any,Iris-setosa
42,"[4.3,5)",Any,Any,"[0.1,0.5)",Iris-setosa
43,Any,Any,Any,Any,Iris-setosa
44,"[5,5.5)",Any,Any,Any,Iris-setosa
45,Any,"[3,4.4]",Any,Any,Iris-setosa
46,"[4.3,5)",Any,Any,"[0.1,0.5)",Iris-setosa
47,"[5,5.5)",Any,Any,Any,Iris-setosa
48,"[4.3,5)",Any,Any,"[0.1,0.5)",Iris-setosa
49,Any,Any,Any,Any,Iris-setosa
50,Any,Any,Any,Any,Iris-setosa
51,Any,"[3,3.5)",Any,Any,Iris-versicolor
52,Any,"[3,3.5)",Any,Any,Iris-versicolor
53,Any,"[3,3.5)",Any,Any,Iris-versicolor
54,Any,Any,Any,Any,Iris-versicolor
55,Any,Any,Any,Any,Iris-versicolor
56,Any,Any,Any,Any,Iris-versicolor
57,Any,"[3,3.5)",Any,Any,Iris-versicolor
58,Any,Any,Any,"[1,1.5)",Iris-versicolor
59,Any,Any,Any,"[1,1.5)",Iris-versicolor
60,Any,Any,Any,"[1,1.5)",Iris-versicolor
61,Any,Any,Any,Any,Iris-versicolor
62,Any,"[3,3.5)",Any,Any,Iris-versicolor
63,Any,Any,Any,Any,Iris-versicolor
64,Any,Any,Any,Any,Iris-versicolor
65,Any,"[2.4,3)",Any,"[1,2.5]",Iris-versicolor
66,Any,Any,Any,Any,Iris-versicolor
67,Any,"[3,3.5)",Any,"[1.5,2)",Iris-versicolor
68,Any,"[2.4,3)",Any,Any,Iris-versicolor
69,Any,Any,Any,Any,Iris-versicolor
70,Any,"[2.4,3)",Any,"[1,2.5]",Iris-versicolor
71,Any,"[3,3.5)",Any,"[1.5,2)",Iris-versicolor
72,"[6,7]",Any,Any,Any,Iris-versicolor
73,Any,"[2.4,3)",Any,Any,Iris-versicolor
74,Any,Any,Any,Any,Iris-versicolor
75,Any,Any,Any,Any,Iris-versicolor
76,Any,"[3,4.4]","[3,6.9)",Any,Iris-versicolor
77,Any,Any,Any,Any,Iris-versicolor
78,Any,"[3,4.4]","[3,6.9)",Any,Iris-versicolor
79,"[6,7]",Any,Any,Any,Iris-versicolor
80,Any,Any,Any,"[1,1.5)",Iris-versicolor
81,Any,"[2.4,3)",Any,Any,Iris-versicolor
82,Any,Any,Any,"[1,1.5)",Iris-versicolor
83,Any,"[2.4,3)",Any,"[1,2.5]",Iris-versicolor
84,"[6,7]",Any,Any,Any,Iris-versicolor
85,Any,Any,Any,Any,Iris-versicolor
86,Any,"[3,3.5)",Any,"[1.5,2)",Iris-versicolor
87,Any,"[3,4.4]","[3,6.9)",Any,Iris-versicolor
88,"[6,7]",Any,Any,Any,Iris-versicolor
89,Any,Any,Any,Any,Iris-versicolor
90,Any,Any,Any,Any,Iris-versicolor
91,Any,"[2.4,3)",Any,Any,Iris-versicolor
92,Any,"[3,4.4]","[3,6.9)",Any,Iris-versicolor
93,Any,Any,Any,Any,Iris-versicolor
94,Any,Any,Any,Any,Iris-versicolor
95,Any,Any,Any,Any,Iris-versicolor
96,Any,3.0,Any,Any,Iris-versicolor
97,Any,Any,Any,Any,Iris-versicolor
98,Any,Any,Any,Any,Iris-versicolor
99,Any,Any,Any,Any,Iris-versicolor
100,Any,"[2.4,3)",Any,Any,Iris-versicolor
101,Any,Any,Any,Any,Iris-virginica
102,Any,Any,Any,Any,Iris-virginica
103,Any,3.0,Any,Any,Iris-virginica
104,Any,"[2.4,3)",Any,"[1,2.5]",Iris-virginica
105,Any,"[3,4.4]","[3,6.9)",Any,Iris-virginica
106,Any,Any,Any,Any,Iris-virginica
107,Any,Any,Any,Any,Iris-virginica
108,Any,Any,Any,Any,Iris-virginica
109,Any,"[2.4,3)",Any,"[1,2.5]",Iris-virginica
110,Any,Any,Any,Any,Iris-virginica
111,Any,Any,Any,Any,Iris-virginica
112,Any,Any,Any,Any,Iris-virginica
